Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.7320751690864563,0.01929016038775444,0.6650337886810302,0.3484697163105011,17.490665802665866,0.46160939887166025
2,0.4095056223869324,0.0172685057669878,0.7982529497146607,0.1937665905058384,18.450897090901478,0.49233805418014526
3,0.2896603906154633,0.014913685508072377,0.7974603486061096,0.06658653676509857,18.800286092891763,0.5052808460593223
4,0.10164685696363449,0.014473203867673874,0.9190087842941285,0.017746245414018633,18.943854188623654,0.5229048404097557
5,0.05422367319464683,0.013067664429545402,0.9642338418960571,0.016269363835453986,19.626055312228715,0.5335813957452774
6,0.020172128826379775,0.012394984513521194,0.9900623846054077,0.009544142037630082,19.516479634539948,0.5294014102220536
7,0.013330771885812283,0.011861148849129676,0.9932114648818969,0.005644433256238699,19.10072099364378,0.544325580149889
8,0.011266311407089233,0.013027695044875144,0.9926742982864379,0.003956038113683462,19.9625449324408,0.5479709692299366
9,0.010169373359531164,0.012164833471179009,0.9951066970825195,0.004119616989046335,20.035540205204168,0.5527731929719448
10,0.008148288875818253,0.012040629386901855,0.99526930809021,0.003413763586431742,19.597469380538417,0.5518333242833614
11,0.006196566354483366,0.011313646957278252,0.9974928450584412,0.0030146086867898704,19.888311965976442,0.5594349691271782
12,0.004354192949831486,0.012989017069339753,0.9976322317123413,0.0019245657231658697,19.976460856027074,0.5582239784300327
13,0.0032000221405178307,0.01152994565665722,0.9980490159988403,0.0012265092274174093,20.229829696021085,0.5630628667771816
14,0.0038576715625822542,0.011210766136646271,0.9979870820045471,0.0016579142748378217,19.73386926798103,0.5554618503153325
15,0.002299932539463043,0.010973091758787632,0.9988101625442505,0.0010771397314965725,20.34581411695938,0.568400993347168
16,0.001865351782180369,0.010826231203973294,0.9992851209640503,0.001012554164044559,20.144834680686277,0.5640037268400192
17,0.0024907491728663445,0.011590140461921692,0.9984706282615662,0.0009484491450712085,19.864818684230343,0.5609189161658287
18,0.002357195494696498,0.010678542405366897,0.9989824652671814,0.0012098365370184184,20.70025035790177,0.5731320218741893
19,0.09727334924042225,0.010297256261110306,0.9777388215065003,0.018196462504565716,20.23829487801072,0.5660618613660335
20,0.44378927707672117,0.009940436147153377,0.7712790942192078,0.15830911904573441,19.197562515424444,0.5614421039819717
